bls_code,nest_id,ind_descr,T,T_descr,D,D_descr,SS,SS_descr,S,S_descr,N3D,N3D_descr,N4D,N4D_descr,N5D,N5D_descr,N6D,N6D_descr,parent,parent_descr
10,10,"Total, All Industries",10,"Total, All Industries",,,,,,,,,,,,,,,root,root
101,101,Goods-Producing,10,"Total, All Industries",101,Goods-Producing,,,,,,,,,,,,,10,"Total, All Industries"
102,102,Service-Providing,10,"Total, All Industries",102,Service-Providing,,,,,,,,,,,,,10,"Total, All Industries"
1011,1011,Natural Resources and Mining,10,"Total, All Industries",101,Goods-Producing,1011,Natural Resources and Mining,,,,,,,,,,,101,Goods-Producing
1012,1012,Construction,10,"Total, All Industries",101,Goods-Producing,1012,Construction,,,,,,,,,,,101,Goods-Producing
1013,1013,Manufacturing,10,"Total, All Industries",101,Goods-Producing,1013,Manufacturing,,,,,,,,,,,101,Goods-Producing
1021,1021,"Trade, Transportation, and Utilities",10,"Total, All Industries",102,Service-Providing,1021,"Trade, Transportation, and Utilities",,,,,,,,,,,102,Service-Providing
1022,1022,Information,10,"Total, All Industries",102,Service-Providing,1022,Information,,,,,,,,,,,102,Service-Providing
1023,1023,Financial Activities,10,"Total, All Industries",102,Service-Providing,1023,Financial Activities,,,,,,,,,,,102,Service-Providing
1024,1024,Professional and Business Services,10,"Total, All Industries",102,Service-Providing,1024,Professional and Business Services,,,,,,,,,,,102,Service-Providing
1025,1025,Education and Health Services,10,"Total, All Industries",102,Service-Providing,1025,Education and Health Services,,,,,,,,,,,102,Service-Providing
1026,1026,Leisure and Hospitality,10,"Total, All Industries",102,Service-Providing,1026,Leisure and Hospitality,,,,,,,,,,,102,Service-Providing
1027,1027,Other Services,10,"Total, All Industries",102,Service-Providing,1027,Other Services,,,,,,,,,,,102,Service-Providing
1028,1028,Public Administration,10,"Total, All Industries",102,Service-Providing,1028,Public Administration,,,,,,,,,,,102,Service-Providing
11,101111,"Agriculture, Forestry, Fishing and Hunting",10,"Total, All Industries",101,Goods-Producing,1011,Natural Resources and Mining,11,"Agriculture, Forestry, Fishing and Hunting",,,,,,,,,1011,Natural Resources and Mining
21,101121,"Mining, Quarrying, and Oil and Gas Extraction",10,"Total, All Industries",101,Goods-Producing,1011,Natural Resources and Mining,21,"Mining, Quarrying, and Oil and Gas Extraction",,,,,,,,,1011,Natural Resources and Mining
22,102122,Utilities,10,"Total, All Industries",102,Service-Providing,1021,"Trade, Transportation, and Utilities",22,Utilities,,,,,,,,,1021,"Trade, Transportation, and Utilities"
23,101223,Construction,10,"Total, All Industries",101,Goods-Producing,1012,Construction,23,Construction,,,,,,,,,1012,Construction
42,102142,Wholesale Trade,10,"Total, All Industries",102,Service-Providing,1021,"Trade, Transportation, and Utilities",42,Wholesale Trade,,,,,,,,,1021,"Trade, Transportation, and Utilities"
51,102251,Information,10,"Total, All Industries",102,Service-Providing,1022,Information,51,Information,,,,,,,,,1022,Information
52,102352,Finance and Insurance,10,"Total, All Industries",102,Service-Providing,1023,Financial Activities,52,Finance and Insurance,,,,,,,,,1023,Financial Activities
53,102353,Real Estate and Rental and Leasing,10,"Total, All Industries",102,Service-Providing,1023,Financial Activities,53,Real Estate and Rental and Leasing,,,,,,,,,1023,Financial Activities
54,102454,"Professional, Scientific, and Technical Services",10,"Total, All Industries",102,Service-Providing,1024,Professional and Business Services,54,"Professional, Scientific, and Technical Services",,,,,,,,,1024,Professional and Business Services
55,102455,Management of Companies and Enterprises,10,"Total, All Industries",102,Service-Providing,1024,Professional and Business Services,55,Management of Companies and Enterprises,,,,,,,,,1024,Professional and Business Services
56,102456,Administrative and Support and Waste Management and Remediation Services,10,"Total, All Industries",102,Service-Providing,1024,Professional and Business Services,56,Administrative and Support and Waste Management and Remediation Services,,,,,,,,,1024,Professional and Business Services
61,102561,Educational Services,10,"Total, All Industries",102,Service-Providing,1025,Education and Health Services,61,Educational Services,,,,,,,,,1025,Education and Health Services
62,102562,Health Care and Social Assistance,10,"Total, All Industries",102,Service-Providing,1025,Education and Health Services,62,Health Care and Social Assistance,,,,,,,,,1025,Education and Health Services
71,102671,"Arts, Entertainment, and Recreation",10,"Total, All Industries",102,Service-Providing,1026,Leisure and Hospitality,71,"Arts, Entertainment, and Recreation",,,,,,,,,1026,Leisure and Hospitality
72,102672,Accommodation and Food Services,10,"Total, All Industries",102,Service-Providing,1026,Leisure and Hospitality,72,Accommodation and Food Services,,,,,,,,,1026,Leisure and Hospitality
81,102781,Other Services (except Public Administration),10,"Total, All Industries",102,Service-Providing,1027,Other Services,81,Other Services (except Public Administration),,,,,,,,,1027,Other Services
92,102892,Public Administration,10,"Total, All Industries",102,Service-Providing,1028,Public Administration,92,Public Administration,,,,,,,,,1028,Public Administration
31-33,101331,Manufacturing,10,"Total, All Industries",101,Goods-Producing,1013,Manufacturing,31-33,Manufacturing,,,,,,,,,1013,Manufacturing
31-33,101332,Manufacturing,10,"Total, All Industries",101,Goods-Producing,1013,Manufacturing,31-33,Manufacturing,,,,,,,,,1013,Manufacturing
31-33,101333,Manufacturing,10,"Total, All Industries",101,Goods-Producing,1013,Manufacturing,31-33,Manufacturing,,,,,,,,,1013,Manufacturing
44-45,102145,Retail Trade,10,"Total, All Industries",102,Service-Providing,1021,"Trade, Transportation, and Utilities",44-45,Retail Trade,,,,,,,,,1021,"Trade, Transportation, and Utilities"
44-45,102144,Retail Trade,10,"Total, All Industries",102,Service-Providing,1021,"Trade, Transportation, and Utilities",44-45,Retail Trade,,,,,,,,,1021,"Trade, Transportation, and Utilities"
48-49,102149,Transportation and Warehousing,10,"Total, All Industries",102,Service-Providing,1021,"Trade, Transportation, and Utilities",48-49,Transportation and Warehousing,,,,,,,,,1021,"Trade, Transportation, and Utilities"
48-49,102148,Transportation and Warehousing,10,"Total, All Industries",102,Service-Providing,1021,"Trade, Transportation, and Utilities",48-49,Transportation and Warehousing,,,,,,,,,1021,"Trade, Transportation, and Utilities"
111,1011111,Crop Production,10,"Total, All Industries",101,Goods-Producing,1011,Natural Resources and Mining,11,"Agriculture, Forestry, Fishing and Hunting",111,Crop Production,,,,,,,11,"Agriculture, Forestry, Fishing and Hunting"
112,1011112,Animal Production and Aquaculture,10,"Total, All Industries",101,Goods-Producing,1011,Natural Resources and Mining,11,"Agriculture, Forestry, Fishing and Hunting",112,Animal Production and Aquaculture,,,,,,,11,"Agriculture, Forestry, Fishing and Hunting"
113,1011113,Forestry and Logging,10,"Total, All Industries",101,Goods-Producing,1011,Natural Resources and Mining,11,"Agriculture, Forestry, Fishing and Hunting",113,Forestry and Logging,,,,,,,11,"Agriculture, Forestry, Fishing and Hunting"
114,1011114,"Fishing, Hunting and Trapping",10,"Total, All Industries",101,Goods-Producing,1011,Natural Resources and Mining,11,"Agriculture, Forestry, Fishing and Hunting",114,"Fishing, Hunting and Trapping",,,,,,,11,"Agriculture, Forestry, Fishing and Hunting"
115,1011115,Support Activities for Agriculture and Forestry,10,"Total, All Industries",101,Goods-Producing,1011,Natural Resources and Mining,11,"Agriculture, Forestry, Fishing and Hunting",115,Support Activities for Agriculture and Forestry,,,,,,,11,"Agriculture, Forestry, Fishing and Hunting"
211,1011211,Oil and Gas Extraction,10,"Total, All Industries",101,Goods-Producing,1011,Natural Resources and Mining,21,"Mining, Quarrying, and Oil and Gas Extraction",211,Oil and Gas Extraction,,,,,,,21,"Mining, Quarrying, and Oil and Gas Extraction"
212,1011212,Mining (except Oil and Gas),10,"Total, All Industries",101,Goods-Producing,1011,Natural Resources and Mining,21,"Mining, Quarrying, and Oil and Gas Extraction",212,Mining (except Oil and Gas),,,,,,,21,"Mining, Quarrying, and Oil and Gas Extraction"
213,1011213,Support Activities for Mining,10,"Total, All Industries",101,Goods-Producing,1011,Natural Resources and Mining,21,"Mining, Quarrying, and Oil and Gas Extraction",213,Support Activities for Mining,,,,,,,21,"Mining, Quarrying, and Oil and Gas Extraction"
221,1021221,Utilities ,10,"Total, All Industries",102,Service-Providing,1021,"Trade, Transportation, and Utilities",22,Utilities,221,Utilities ,,,,,,,22,Utilities
236,1012236,Construction of Buildings,10,"Total, All Industries",101,Goods-Producing,1012,Construction,23,Construction,236,Construction of Buildings,,,,,,,23,Construction
237,1012237,Heavy and Civil Engineering Construction,10,"Total, All Industries",101,Goods-Producing,1012,Construction,23,Construction,237,Heavy and Civil Engineering Construction,,,,,,,23,Construction
238,1012238,Specialty Trade Contractors,10,"Total, All Industries",101,Goods-Producing,1012,Construction,23,Construction,238,Specialty Trade Contractors,,,,,,,23,Construction
311,1013311,Food Manufacturing,10,"Total, All Industries",101,Goods-Producing,1013,Manufacturing,31-33,Manufacturing,311,Food Manufacturing,,,,,,,31-33,Manufacturing
312,1013312,Beverage and Tobacco Product Manufacturing,10,"Total, All Industries",101,Goods-Producing,1013,Manufacturing,31-33,Manufacturing,312,Beverage and Tobacco Product Manufacturing,,,,,,,31-33,Manufacturing
313,1013313,Textile Mills,10,"Total, All Industries",101,Goods-Producing,1013,Manufacturing,31-33,Manufacturing,313,Textile Mills,,,,,,,31-33,Manufacturing
314,1013314,Textile Product Mills,10,"Total, All Industries",101,Goods-Producing,1013,Manufacturing,31-33,Manufacturing,314,Textile Product Mills,,,,,,,31-33,Manufacturing
315,1013315,Apparel Manufacturing,10,"Total, All Industries",101,Goods-Producing,1013,Manufacturing,31-33,Manufacturing,315,Apparel Manufacturing,,,,,,,31-33,Manufacturing
316,1013316,Leather and Allied Product Manufacturing,10,"Total, All Industries",101,Goods-Producing,1013,Manufacturing,31-33,Manufacturing,316,Leather and Allied Product Manufacturing,,,,,,,31-33,Manufacturing
321,1013321,Wood Product Manufacturing,10,"Total, All Industries",101,Goods-Producing,1013,Manufacturing,31-33,Manufacturing,321,Wood Product Manufacturing,,,,,,,31-33,Manufacturing
322,1013322,Paper Manufacturing,10,"Total, All Industries",101,Goods-Producing,1013,Manufacturing,31-33,Manufacturing,322,Paper Manufacturing,,,,,,,31-33,Manufacturing
323,1013323,Printing and Related Support Activities,10,"Total, All Industries",101,Goods-Producing,1013,Manufacturing,31-33,Manufacturing,323,Printing and Related Support Activities,,,,,,,31-33,Manufacturing
324,1013324,Petroleum and Coal Products Manufacturing,10,"Total, All Industries",101,Goods-Producing,1013,Manufacturing,31-33,Manufacturing,324,Petroleum and Coal Products Manufacturing,,,,,,,31-33,Manufacturing
325,1013325,Chemical Manufacturing,10,"Total, All Industries",101,Goods-Producing,1013,Manufacturing,31-33,Manufacturing,325,Chemical Manufacturing,,,,,,,31-33,Manufacturing
326,1013326,Plastics and Rubber Products Manufacturing,10,"Total, All Industries",101,Goods-Producing,1013,Manufacturing,31-33,Manufacturing,326,Plastics and Rubber Products Manufacturing,,,,,,,31-33,Manufacturing
327,1013327,Nonmetallic Mineral Product Manufacturing,10,"Total, All Industries",101,Goods-Producing,1013,Manufacturing,31-33,Manufacturing,327,Nonmetallic Mineral Product Manufacturing,,,,,,,31-33,Manufacturing
331,1013331,Primary Metal Manufacturing,10,"Total, All Industries",101,Goods-Producing,1013,Manufacturing,31-33,Manufacturing,331,Primary Metal Manufacturing,,,,,,,31-33,Manufacturing
332,1013332,Fabricated Metal Product Manufacturing,10,"Total, All Industries",101,Goods-Producing,1013,Manufacturing,31-33,Manufacturing,332,Fabricated Metal Product Manufacturing,,,,,,,31-33,Manufacturing
333,1013333,Machinery Manufacturing,10,"Total, All Industries",101,Goods-Producing,1013,Manufacturing,31-33,Manufacturing,333,Machinery Manufacturing,,,,,,,31-33,Manufacturing
334,1013334,Computer and Electronic Product Manufacturing,10,"Total, All Industries",101,Goods-Producing,1013,Manufacturing,31-33,Manufacturing,334,Computer and Electronic Product Manufacturing,,,,,,,31-33,Manufacturing
335,1013335,"Electrical Equipment, Appliance, and Component Manufacturing",10,"Total, All Industries",101,Goods-Producing,1013,Manufacturing,31-33,Manufacturing,335,"Electrical Equipment, Appliance, and Component Manufacturing",,,,,,,31-33,Manufacturing
336,1013336,Transportation Equipment Manufacturing,10,"Total, All Industries",101,Goods-Producing,1013,Manufacturing,31-33,Manufacturing,336,Transportation Equipment Manufacturing,,,,,,,31-33,Manufacturing
337,1013337,Furniture and Related Product Manufacturing,10,"Total, All Industries",101,Goods-Producing,1013,Manufacturing,31-33,Manufacturing,337,Furniture and Related Product Manufacturing,,,,,,,31-33,Manufacturing
339,1013339,Miscellaneous Manufacturing,10,"Total, All Industries",101,Goods-Producing,1013,Manufacturing,31-33,Manufacturing,339,Miscellaneous Manufacturing,,,,,,,31-33,Manufacturing
423,1021423,"Merchant Wholesalers, Durable Goods ",10,"Total, All Industries",102,Service-Providing,1021,"Trade, Transportation, and Utilities",42,Wholesale Trade,423,"Merchant Wholesalers, Durable Goods ",,,,,,,42,Wholesale Trade
424,1021424,"Merchant Wholesalers, Nondurable Goods ",10,"Total, All Industries",102,Service-Providing,1021,"Trade, Transportation, and Utilities",42,Wholesale Trade,424,"Merchant Wholesalers, Nondurable Goods ",,,,,,,42,Wholesale Trade
425,1021425,Wholesale Electronic Markets and Agents and Brokers ,10,"Total, All Industries",102,Service-Providing,1021,"Trade, Transportation, and Utilities",42,Wholesale Trade,425,Wholesale Electronic Markets and Agents and Brokers ,,,,,,,42,Wholesale Trade
441,1021441,Motor Vehicle and Parts Dealers ,10,"Total, All Industries",102,Service-Providing,1021,"Trade, Transportation, and Utilities",44-45,Retail Trade,441,Motor Vehicle and Parts Dealers ,,,,,,,44-45,Retail Trade
442,1021442,Furniture and Home Furnishings Stores ,10,"Total, All Industries",102,Service-Providing,1021,"Trade, Transportation, and Utilities",44-45,Retail Trade,442,Furniture and Home Furnishings Stores ,,,,,,,44-45,Retail Trade
443,1021443,Electronics and Appliance Stores ,10,"Total, All Industries",102,Service-Providing,1021,"Trade, Transportation, and Utilities",44-45,Retail Trade,443,Electronics and Appliance Stores ,,,,,,,44-45,Retail Trade
444,1021444,Building Material and Garden Equipment and Supplies Dealers ,10,"Total, All Industries",102,Service-Providing,1021,"Trade, Transportation, and Utilities",44-45,Retail Trade,444,Building Material and Garden Equipment and Supplies Dealers ,,,,,,,44-45,Retail Trade
445,1021445,Food and Beverage Stores ,10,"Total, All Industries",102,Service-Providing,1021,"Trade, Transportation, and Utilities",44-45,Retail Trade,445,Food and Beverage Stores ,,,,,,,44-45,Retail Trade
446,1021446,Health and Personal Care Stores ,10,"Total, All Industries",102,Service-Providing,1021,"Trade, Transportation, and Utilities",44-45,Retail Trade,446,Health and Personal Care Stores ,,,,,,,44-45,Retail Trade
447,1021447,Gasoline Stations ,10,"Total, All Industries",102,Service-Providing,1021,"Trade, Transportation, and Utilities",44-45,Retail Trade,447,Gasoline Stations ,,,,,,,44-45,Retail Trade
448,1021448,Clothing and Clothing Accessories Stores ,10,"Total, All Industries",102,Service-Providing,1021,"Trade, Transportation, and Utilities",44-45,Retail Trade,448,Clothing and Clothing Accessories Stores ,,,,,,,44-45,Retail Trade
451,1021451,"Sporting Goods, Hobby, Musical Instrument, and Book Stores ",10,"Total, All Industries",102,Service-Providing,1021,"Trade, Transportation, and Utilities",44-45,Retail Trade,451,"Sporting Goods, Hobby, Musical Instrument, and Book Stores ",,,,,,,44-45,Retail Trade
452,1021452,General Merchandise Stores ,10,"Total, All Industries",102,Service-Providing,1021,"Trade, Transportation, and Utilities",44-45,Retail Trade,452,General Merchandise Stores ,,,,,,,44-45,Retail Trade
453,1021453,Miscellaneous Store Retailers ,10,"Total, All Industries",102,Service-Providing,1021,"Trade, Transportation, and Utilities",44-45,Retail Trade,453,Miscellaneous Store Retailers ,,,,,,,44-45,Retail Trade
454,1021454,Nonstore Retailers ,10,"Total, All Industries",102,Service-Providing,1021,"Trade, Transportation, and Utilities",44-45,Retail Trade,454,Nonstore Retailers ,,,,,,,44-45,Retail Trade
481,1021481,Air Transportation,10,"Total, All Industries",102,Service-Providing,1021,"Trade, Transportation, and Utilities",48-49,Transportation and Warehousing,481,Air Transportation,,,,,,,48-49,Transportation and Warehousing
482,1021482,Rail Transportation,10,"Total, All Industries",102,Service-Providing,1021,"Trade, Transportation, and Utilities",48-49,Transportation and Warehousing,482,Rail Transportation,,,,,,,48-49,Transportation and Warehousing
483,1021483,Water Transportation,10,"Total, All Industries",102,Service-Providing,1021,"Trade, Transportation, and Utilities",48-49,Transportation and Warehousing,483,Water Transportation,,,,,,,48-49,Transportation and Warehousing
484,1021484,Truck Transportation,10,"Total, All Industries",102,Service-Providing,1021,"Trade, Transportation, and Utilities",48-49,Transportation and Warehousing,484,Truck Transportation,,,,,,,48-49,Transportation and Warehousing
485,1021485,Transit and Ground Passenger Transportation,10,"Total, All Industries",102,Service-Providing,1021,"Trade, Transportation, and Utilities",48-49,Transportation and Warehousing,485,Transit and Ground Passenger Transportation,,,,,,,48-49,Transportation and Warehousing
486,1021486,Pipeline Transportation,10,"Total, All Industries",102,Service-Providing,1021,"Trade, Transportation, and Utilities",48-49,Transportation and Warehousing,486,Pipeline Transportation,,,,,,,48-49,Transportation and Warehousing
487,1021487,Scenic and Sightseeing Transportation,10,"Total, All Industries",102,Service-Providing,1021,"Trade, Transportation, and Utilities",48-49,Transportation and Warehousing,487,Scenic and Sightseeing Transportation,,,,,,,48-49,Transportation and Warehousing
488,1021488,Support Activities for Transportation,10,"Total, All Industries",102,Service-Providing,1021,"Trade, Transportation, and Utilities",48-49,Transportation and Warehousing,488,Support Activities for Transportation,,,,,,,48-49,Transportation and Warehousing
491,1021491,Postal Service,10,"Total, All Industries",102,Service-Providing,1021,"Trade, Transportation, and Utilities",48-49,Transportation and Warehousing,491,Postal Service,,,,,,,48-49,Transportation and Warehousing
492,1021492,Couriers and Messengers,10,"Total, All Industries",102,Service-Providing,1021,"Trade, Transportation, and Utilities",48-49,Transportation and Warehousing,492,Couriers and Messengers,,,,,,,48-49,Transportation and Warehousing
493,1021493,Warehousing and Storage,10,"Total, All Industries",102,Service-Providing,1021,"Trade, Transportation, and Utilities",48-49,Transportation and Warehousing,493,Warehousing and Storage,,,,,,,48-49,Transportation and Warehousing
511,1022511,Publishing Industries (except Internet),10,"Total, All Industries",102,Service-Providing,1022,Information,51,Information,511,Publishing Industries (except Internet),,,,,,,51,Information
512,1022512,Motion Picture and Sound Recording Industries,10,"Total, All Industries",102,Service-Providing,1022,Information,51,Information,512,Motion Picture and Sound Recording Industries,,,,,,,51,Information
515,1022515,Broadcasting (except Internet),10,"Total, All Industries",102,Service-Providing,1022,Information,51,Information,515,Broadcasting (except Internet),,,,,,,51,Information
517,1022517,Telecommunications,10,"Total, All Industries",102,Service-Providing,1022,Information,51,Information,517,Telecommunications,,,,,,,51,Information
518,1022518,"Data Processing, Hosting, and Related Services",10,"Total, All Industries",102,Service-Providing,1022,Information,51,Information,518,"Data Processing, Hosting, and Related Services",,,,,,,51,Information
519,1022519,Other Information Services,10,"Total, All Industries",102,Service-Providing,1022,Information,51,Information,519,Other Information Services,,,,,,,51,Information
521,1023521,Monetary Authorities-Central Bank,10,"Total, All Industries",102,Service-Providing,1023,Financial Activities,52,Finance and Insurance,521,Monetary Authorities-Central Bank,,,,,,,52,Finance and Insurance
522,1023522,Credit Intermediation and Related Activities,10,"Total, All Industries",102,Service-Providing,1023,Financial Activities,52,Finance and Insurance,522,Credit Intermediation and Related Activities,,,,,,,52,Finance and Insurance
523,1023523,"Securities, Commodity Contracts, and Other Financial Investments and Related Activities",10,"Total, All Industries",102,Service-Providing,1023,Financial Activities,52,Finance and Insurance,523,"Securities, Commodity Contracts, and Other Financial Investments and Related Activities",,,,,,,52,Finance and Insurance
524,1023524,Insurance Carriers and Related Activities,10,"Total, All Industries",102,Service-Providing,1023,Financial Activities,52,Finance and Insurance,524,Insurance Carriers and Related Activities,,,,,,,52,Finance and Insurance
525,1023525,"Funds, Trusts, and Other Financial Vehicles ",10,"Total, All Industries",102,Service-Providing,1023,Financial Activities,52,Finance and Insurance,525,"Funds, Trusts, and Other Financial Vehicles ",,,,,,,52,Finance and Insurance
531,1023531,Real Estate,10,"Total, All Industries",102,Service-Providing,1023,Financial Activities,53,Real Estate and Rental and Leasing,531,Real Estate,,,,,,,53,Real Estate and Rental and Leasing
532,1023532,Rental and Leasing Services,10,"Total, All Industries",102,Service-Providing,1023,Financial Activities,53,Real Estate and Rental and Leasing,532,Rental and Leasing Services,,,,,,,53,Real Estate and Rental and Leasing
533,1023533,Lessors of Nonfinancial Intangible Assets (except Copyrighted Works),10,"Total, All Industries",102,Service-Providing,1023,Financial Activities,53,Real Estate and Rental and Leasing,533,Lessors of Nonfinancial Intangible Assets (except Copyrighted Works),,,,,,,53,Real Estate and Rental and Leasing
541,1024541,"Professional, Scientific, and Technical Services",10,"Total, All Industries",102,Service-Providing,1024,Professional and Business Services,54,"Professional, Scientific, and Technical Services",541,"Professional, Scientific, and Technical Services",,,,,,,54,"Professional, Scientific, and Technical Services"
551,1024551,Management of Companies and Enterprises,10,"Total, All Industries",102,Service-Providing,1024,Professional and Business Services,55,Management of Companies and Enterprises,551,Management of Companies and Enterprises,,,,,,,55,Management of Companies and Enterprises
561,1024561,Administrative and Support Services,10,"Total, All Industries",102,Service-Providing,1024,Professional and Business Services,56,Administrative and Support and Waste Management and Remediation Services,561,Administrative and Support Services,,,,,,,56,Administrative and Support and Waste Management and Remediation Services
562,1024562,Waste Management and Remediation Services,10,"Total, All Industries",102,Service-Providing,1024,Professional and Business Services,56,Administrative and Support and Waste Management and Remediation Services,562,Waste Management and Remediation Services,,,,,,,56,Administrative and Support and Waste Management and Remediation Services
611,1025611,Educational Services,10,"Total, All Industries",102,Service-Providing,1025,Education and Health Services,61,Educational Services,611,Educational Services,,,,,,,61,Educational Services
621,1025621,Ambulatory Health Care Services,10,"Total, All Industries",102,Service-Providing,1025,Education and Health Services,62,Health Care and Social Assistance,621,Ambulatory Health Care Services,,,,,,,62,Health Care and Social Assistance
622,1025622,Hospitals,10,"Total, All Industries",102,Service-Providing,1025,Education and Health Services,62,Health Care and Social Assistance,622,Hospitals,,,,,,,62,Health Care and Social Assistance
623,1025623,Nursing and Residential Care Facilities,10,"Total, All Industries",102,Service-Providing,1025,Education and Health Services,62,Health Care and Social Assistance,623,Nursing and Residential Care Facilities,,,,,,,62,Health Care and Social Assistance
624,1025624,Social Assistance,10,"Total, All Industries",102,Service-Providing,1025,Education and Health Services,62,Health Care and Social Assistance,624,Social Assistance,,,,,,,62,Health Care and Social Assistance
711,1026711,"Performing Arts, Spectator Sports, and Related Industries",10,"Total, All Industries",102,Service-Providing,1026,Leisure and Hospitality,71,"Arts, Entertainment, and Recreation",711,"Performing Arts, Spectator Sports, and Related Industries",,,,,,,71,"Arts, Entertainment, and Recreation"
712,1026712,"Museums, Historical Sites, and Similar Institutions",10,"Total, All Industries",102,Service-Providing,1026,Leisure and Hospitality,71,"Arts, Entertainment, and Recreation",712,"Museums, Historical Sites, and Similar Institutions",,,,,,,71,"Arts, Entertainment, and Recreation"
713,1026713,"Amusement, Gambling, and Recreation Industries",10,"Total, All Industries",102,Service-Providing,1026,Leisure and Hospitality,71,"Arts, Entertainment, and Recreation",713,"Amusement, Gambling, and Recreation Industries",,,,,,,71,"Arts, Entertainment, and Recreation"
721,1026721,Accommodation,10,"Total, All Industries",102,Service-Providing,1026,Leisure and Hospitality,72,Accommodation and Food Services,721,Accommodation,,,,,,,72,Accommodation and Food Services
722,1026722,Food Services and Drinking Places,10,"Total, All Industries",102,Service-Providing,1026,Leisure and Hospitality,72,Accommodation and Food Services,722,Food Services and Drinking Places,,,,,,,72,Accommodation and Food Services
811,1027811,Repair and Maintenance,10,"Total, All Industries",102,Service-Providing,1027,Other Services,81,Other Services (except Public Administration),811,Repair and Maintenance,,,,,,,81,Other Services (except Public Administration)
812,1027812,Personal and Laundry Services,10,"Total, All Industries",102,Service-Providing,1027,Other Services,81,Other Services (except Public Administration),812,Personal and Laundry Services,,,,,,,81,Other Services (except Public Administration)
813,1027813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",10,"Total, All Industries",102,Service-Providing,1027,Other Services,81,Other Services (except Public Administration),813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",,,,,,,81,Other Services (except Public Administration)
814,1027814,Private Households,10,"Total, All Industries",102,Service-Providing,1027,Other Services,81,Other Services (except Public Administration),814,Private Households,,,,,,,81,Other Services (except Public Administration)
921,1028921,"Executive, Legislative, and Other General Government Support ",10,"Total, All Industries",102,Service-Providing,1028,Public Administration,92,Public Administration,921,"Executive, Legislative, and Other General Government Support ",,,,,,,92,Public Administration
922,1028922,"Justice, Public Order, and Safety Activities ",10,"Total, All Industries",102,Service-Providing,1028,Public Administration,92,Public Administration,922,"Justice, Public Order, and Safety Activities ",,,,,,,92,Public Administration
923,1028923,Administration of Human Resource Programs ,10,"Total, All Industries",102,Service-Providing,1028,Public Administration,92,Public Administration,923,Administration of Human Resource Programs ,,,,,,,92,Public Administration
924,1028924,Administration of Environmental Quality Programs ,10,"Total, All Industries",102,Service-Providing,1028,Public Administration,92,Public Administration,924,Administration of Environmental Quality Programs ,,,,,,,92,Public Administration
925,1028925,"Administration of Housing Programs, Urban Planning, and Community Development ",10,"Total, All Industries",102,Service-Providing,1028,Public Administration,92,Public Administration,925,"Administration of Housing Programs, Urban Planning, and Community Development ",,,,,,,92,Public Administration
926,1028926,Administration of Economic Programs ,10,"Total, All Industries",102,Service-Providing,1028,Public Administration,92,Public Administration,926,Administration of Economic Programs ,,,,,,,92,Public Administration
927,1028927,Space Research and Technology ,10,"Total, All Industries",102,Service-Providing,1028,Public Administration,92,Public Administration,927,Space Research and Technology ,,,,,,,92,Public Administration
928,1028928,National Security and International Affairs ,10,"Total, All Industries",102,Service-Providing,1028,Public Administration,92,Public Administration,928,National Security and International Affairs ,,,,,,,92,Public Administration
1111,10111111,Oilseed and Grain Farming,10,"Total, All Industries",101,Goods-Producing,1011,Natural Resources and Mining,11,"Agriculture, Forestry, Fishing and Hunting",111,Crop Production,1111,Oilseed and Grain Farming,,,,,111,Crop Production
1112,10111112,Vegetable and Melon Farming,10,"Total, All Industries",101,Goods-Producing,1011,Natural Resources and Mining,11,"Agriculture, Forestry, Fishing and Hunting",111,Crop Production,1112,Vegetable and Melon Farming,,,,,111,Crop Production
1113,10111113,Fruit and Tree Nut Farming,10,"Total, All Industries",101,Goods-Producing,1011,Natural Resources and Mining,11,"Agriculture, Forestry, Fishing and Hunting",111,Crop Production,1113,Fruit and Tree Nut Farming,,,,,111,Crop Production
1114,10111114,"Greenhouse, Nursery, and Floriculture Production",10,"Total, All Industries",101,Goods-Producing,1011,Natural Resources and Mining,11,"Agriculture, Forestry, Fishing and Hunting",111,Crop Production,1114,"Greenhouse, Nursery, and Floriculture Production",,,,,111,Crop Production
1119,10111119,Other Crop Farming,10,"Total, All Industries",101,Goods-Producing,1011,Natural Resources and Mining,11,"Agriculture, Forestry, Fishing and Hunting",111,Crop Production,1119,Other Crop Farming,,,,,111,Crop Production
1121,10111121,Cattle Ranching and Farming,10,"Total, All Industries",101,Goods-Producing,1011,Natural Resources and Mining,11,"Agriculture, Forestry, Fishing and Hunting",112,Animal Production and Aquaculture,1121,Cattle Ranching and Farming,,,,,112,Animal Production and Aquaculture
1122,10111122,Hog and Pig Farming,10,"Total, All Industries",101,Goods-Producing,1011,Natural Resources and Mining,11,"Agriculture, Forestry, Fishing and Hunting",112,Animal Production and Aquaculture,1122,Hog and Pig Farming,,,,,112,Animal Production and Aquaculture
1123,10111123,Poultry and Egg Production,10,"Total, All Industries",101,Goods-Producing,1011,Natural Resources and Mining,11,"Agriculture, Forestry, Fishing and Hunting",112,Animal Production and Aquaculture,1123,Poultry and Egg Production,,,,,112,Animal Production and Aquaculture
